source_id,RA,DEC,Type,Period,A1,A1_error,A2,A2_error,A3,A3_error,Phi21,Phi21_error,Phi31,Phi31_error,Fe_H,Fe_H_error,E_BV,E_BV_error,Distance_modulus,Distance_modulus_error,NA
4154041138324370304,275.64138543214705,-11.511087824071073,RRab,0.385171123595644,0.23712978,0.014149906,0.13019699,0.021255037,0.061875325,0.027616473,4.026934,0.2105889,1.4581213,0.52725667,-1.137065713955824,0.6198266573550409,3.9327,0.5197,8.61924519990763,1.51178677908864,
4091436737336354816,275.72654831685225,-20.158850494718617,RRab,0.4031583081429983,0.16866718,0.0065480312,0.059672,0.00712487,0.02118092,0.0049218023,4.391466,0.13966542,2.296546,0.29592806,-0.4487753701936404,0.4742959440428193,1.5655,0.0645,13.09443610365422,0.618624418906197,
4089701600561326336,275.79151805579846,-23.007142794329067,RRab,0.3769684841919918,0.314952,0.015601787,0.13803859,0.0236777,0.06322376,0.01537843,4.219669,0.11684349,2.1490433,0.29082006,-0.4420743852655543,0.4597318062861675,0.7957,0.0427,13.975932627874354,0.6109284107822105,
4096887527484427520,276.15375120677623,-17.336682297189125,RRab,0.4936728215128372,0.1399575,0.0036366198,0.0511901,0.0035682006,0.03148631,0.003855005,4.7022886,0.12986764,3.6814237,0.099089704,0.3506541186037532,0.4817130265939831,2.0299,0.1657,12.538957446790947,0.7338103302383119,
4051135405536554112,276.34246347914126,-29.09598999287532,RRab,0.4652885814710132,0.14073578,0.0017741078,0.047563512,0.0033052214,0.016065137,0.0025858781,4.299849,0.06355648,2.9257822,0.22653073,-0.2021163591641234,0.4819153534076497,0.39,0.0082,13.933243080565957,0.5644818075450039,
4097890492578070272,276.69431706189766,-15.902759192277118,RRab,0.4324674544682146,0.18995918,0.011384192,0.07148813,0.015756998,0.07319202,0.020288173,4.573769,0.33148247,2.7557046,0.32633516,-0.179832048298591,0.5061965414230539,2.5036,0.0278,9.302565373523604,0.6088761582221683,
4104881084475480192,277.55873216835454,-12.83743747421054,RRab,0.3885637429824373,0.29733363,0.040687744,0.119841486,0.037103083,0.074411154,0.040504135,4.298189,0.32648396,2.4880674,0.63169646,-0.1877454175525271,0.6938694185387682,4.5312,0.7024,2.6958665169147062,1.8696311658563736,
4076150570744311680,277.5857443783218,-25.771903781688952,RRab,0.4365116052091528,0.23141693,0.0071268864,0.08370268,0.0052433815,0.03617873,0.0042501744,4.5113206,0.08317731,2.9368773,0.16058642,-0.0319747469107979,0.4469753831733297,0.3634,0.0043,13.908943529135025,0.5573107528166326,
4092819849854296832,277.64803207786656,-19.553213093228035,RRab,0.4576087203139662,0.14765377,0.011117255,0.037512127,0.0052298405,0.025116585,0.012866998,4.2144427,0.30793288,2.972195,0.38271692,-0.1158650977425125,0.5666065267838619,0.8444,0.0381,14.658493827367904,0.5992634304045616,
4091963540839941120,278.3379315266955,-20.418647010447284,RRab,0.3200267887427435,0.27882254,0.025017958,0.1697375,0.024918584,0.11388958,0.030527866,4.2099605,0.12911305,1.4254758,0.3189809,-0.8062014255222264,0.4463651161820502,0.5188,0.0494,14.932519599146223,0.67283381204886,
4047403873583746560,278.7073909440549,-30.20128351069927,RRab,0.3105086696916037,0.2935327,0.01613318,0.12227943,0.015853856,0.069019064,0.026226323,4.341093,0.16769458,2.0549808,0.21101525,-0.1616411647884005,0.4129875302258463,0.1853,0.0059,14.676034726140752,0.5660156212037301,
5864039726835034496,201.4431609658149,-65.25627252755176,RRab,0.3331907292297553,0.27140132,0.012110534,0.14967245,0.01412865,0.08215501,0.009719454,4.194462,0.13431121,2.3391044,0.26625997,-0.0204504112251419,0.4476500613438486,1.0823,0.0318,15.635566315143038,0.5806424817521136,
2934307882678436992,107.18211704996294,-18.41305316629298,RRab,0.4496299368293109,0.16763084,0.0017516655,0.065433614,0.0020540524,0.026518393,0.0015448369,4.542598,0.035693105,2.9736743,0.09574286,-0.0701923074026756,0.4348846383615916,0.8018,0.0878,13.101436046072749,0.6095874008628389,
5712340592847082240,117.9485549240868,-21.28346401606386,RRab,0.3952924732685703,0.22181329,0.0039742556,0.099445164,0.0038358527,0.054079063,0.0018564014,4.353069,0.029073128,2.568081,0.06843005,-0.1498770866405653,0.400803277184879,0.4008,0.0164,13.71363478425936,0.5536752866596548,
5538923312511735296,118.18221187336913,-37.89873970668561,RRab,0.4684418420172506,0.10269662,0.0057530436,0.05509935,0.006458282,0.02978125,0.0065703513,4.118738,0.16410829,1.530279,0.25227594,-1.5313899631957408,0.4142187854725513,0.8301,0.0301,15.477795589694807,0.810639410353048,
5537340806035805440,118.67295759612256,-40.59028498922938,RRab,0.3463587856871532,0.35072422,0.012148274,0.18254055,0.010024075,0.11561301,0.010784374,3.9591317,0.075296625,1.7274489,0.13478163,-0.6684892945637005,0.3730394747317459,0.8691,0.0153,14.935075402477835,0.6404187205421106,
5545448609080597120,118.76774664940856,-35.56435595046797,RRab,0.4218406343996496,0.17967507,0.0025143712,0.08871734,0.0021144063,0.051762626,0.0024413231,4.439102,0.02824666,2.8026395,0.054234527,-0.0767343909180547,0.4074699917401767,1.5861,0.0396,11.491171029457057,0.5777610422241455,
5540331859917136256,124.6214536377026,-38.60236906033846,RRab,0.4449637248171529,0.20109455,0.0069137835,0.09769117,0.0072955885,0.04010174,0.007944864,4.423904,0.07891942,2.9135478,0.15749866,-0.1008137407351988,0.4455679586620056,1.952,0.1122,12.517655847405855,0.6416453275782801,
5312429139869467264,142.51299034337887,-52.464561346247145,RRab,0.2974717277810284,0.26171917,0.0073772864,0.12823862,0.0054136817,0.08420024,0.0052315956,4.1906834,0.06917195,2.3644059,0.1089182,0.2015734568152923,0.3815220177697752,1.7349,0.149,13.869858032091718,0.6722552467006835,
5307694161761823104,147.92237566002362,-55.71565681011155,RRab,0.4188020334078436,0.2069523,0.004771411,0.10662555,0.0061103106,0.059610058,0.0042074015,4.540861,0.03539063,2.8443627,0.11320921,-0.0206503474135318,0.4283730079488855,2.7187,0.0368,9.463242897275787,0.5840478914867684,
5357003306899897984,152.56467642718698,-51.79674671898111,RRab,0.4382522022615235,0.19452693,0.006005311,0.08847256,0.007372938,0.042769212,0.007053392,4.374783,0.086320855,2.6952825,0.20851888,-0.2687341725514559,0.4374755228994231,0.7819,0.0398,14.612615168314408,0.5984749418111586,
5358310424375618304,155.4599101860736,-51.6177455642663,RRab,0.4076418883779506,0.24056412,0.0026457629,0.10813519,0.002059437,0.05552562,0.0023810454,4.3675117,0.021715704,2.5631995,0.053025223,-0.2230049504976262,0.3914679449589073,0.3813,0.0043,12.969248586139337,0.5844018061392235,
5252065646589787008,156.01366442375732,-63.76110674121166,RRab,0.4961196922861323,0.06096879,0.0033907834,0.03620816,0.0038419028,0.023307651,0.0025870018,4.1579337,0.10798229,2.1946003,0.2424057,-1.0605400101880345,0.4429064302805701,0.3954,0.013,14.16570980285265,0.711968825413285,
