#,source_id,RA,DEC,Type,Period,A1,A1_error,A2,A2_error,A3,A3_error,Phi21,Phi21_error,Phi31,Phi31_error,[Fe/H],[Fe/H]_error,E(B-V),E(B-V)_error,Distance_modulus,Distance_modulus_error
5979996357763478656,256.76793828690734,-32.73708638575852,RRc,0.2384141084717935,0.17332469,0.0035019035,0.026069485,0.0035258716,0.018063212,0.0023924392,4.624161,0.10279889,3.0646179,0.17856859,-0.7746833592491165,0.3087790333939354,0.5753,0.016,14.492711540589752,0.6364530741318909,
5980315765840586368,258.3966225855435,-31.98496015175036,RRc,0.2393154898990429,0.17212461,0.004061505,0.020026404,0.003717015,0.017502395,0.0036044614,4.3046975,0.2900128,2.8088644,0.29802302,-0.7847620850978259,0.3291832213100505,0.8082,0.0219,14.917670183827394,0.6483888144782829,
4107608629166881024,258.5625549507917,-28.76421519841704,RRc,0.2063018229669369,0.14292495,0.0021254893,0.021046203,0.0040706806,0.014098941,0.005683642,4.151511,0.15536813,3.284774,0.17589112,-0.4028910841576407,0.3246966014718522,0.5905,0.017,14.89269050356414,0.5779487017493763,
4068218998738416512,265.2755249516451,-24.515948469729,RRc,0.2143009959940934,0.14070432,0.0032920896,0.023446742,0.0030853578,0.016394045,0.0035099112,4.52136,0.19038664,3.234521,0.24666241,-0.5051832460695573,0.3253372899684701,1.087,0.0215,14.388252308899476,0.5997335642581175,
4041493551924546176,266.79809813345105,-35.105911871072045,RRc,0.2322053988232269,0.16926964,0.002903313,0.021978473,0.0028559563,0.014022081,0.0033014608,4.563537,0.17692558,3.1248064,0.27544197,-0.6696075717703573,0.3288615054723185,0.753,0.0255,13.9281501200957,0.6151032352529898,
4041470114492154496,267.7499059881973,-34.81226450461643,RRc,0.2378683491175815,0.15970793,0.0043248856,0.018623002,0.0036518238,0.013633635,0.0044146515,4.367705,0.111672655,3.3890405,0.18392962,-0.6258552251441456,0.3321343891407134,0.5515,0.0236,14.42482446304036,0.6156406286646743,
4041676792430501760,268.17786537051364,-33.83216765355393,RRc,0.2384574401527846,0.18281803,0.0043918923,0.032259993,0.004985056,0.018164234,0.0076961773,4.564642,0.15508805,2.7906177,0.2607425,-0.8958928025247803,0.3316597005813367,1.0063,0.0476,14.226897184706935,0.6783264292797121,
4040769523511945600,268.85826978989604,-34.96839473553884,RRc,0.2219883899402414,0.16417624,0.0068349377,0.0244949,0.008548037,0.016810138,0.0070978673,4.583961,0.23079628,2.6758983,0.32620496,-0.7091066070896612,0.3232491099029831,0.5555,0.0221,16.013925849985103,0.6359687612655862,
4040725813627182976,268.9187556922288,-35.30712723937387,RRc,0.239179236514223,0.15454419,0.0042688907,0.023388619,0.004877072,0.018782575,0.0045117,4.504854,0.18544544,3.9270978,0.30860263,-0.557807887291464,0.3432515725878418,0.4802,0.0101,15.198237008441607,0.6052679984452893,
4062320776053871104,269.71198999519896,-29.48121893394531,RRc,0.2489289405646644,0.16702886,0.012422095,0.037717942,0.04062945,0.06455314,0.02288923,5.7258697,0.2804873,5.56782,0.8689801,-0.3975401307022335,0.5670876225542097,1.086,0.0373,14.650148236596626,0.6330201781001017,
4044207554698153216,270.11009814308863,-30.41536461196484,RRc,0.2332526458676693,0.17427994,0.02223619,0.033729743,0.022961734,0.04777046,0.023074728,3.9264462,1.040617,0.97984684,0.5070152,-1.281648622129896,0.3839527933356758,0.8718,0.0281,15.874982814196374,0.7586375829140651,
4042614774538849920,271.1135391799115,-33.76482404700342,RRc,0.2437466124443535,0.18953493,0.0023563483,0.037487425,0.004228131,0.019325282,0.0047677727,4.6607337,0.07926521,3.1891792,0.14261116,-0.8982174037747785,0.3254055933772239,0.4805,0.0102,13.233858873056938,0.6542952898077293,
4049981231947129856,271.48932651580617,-30.35966896654077,RRc,0.2419823628711261,0.21043204,0.010853686,0.04721739,0.010408089,0.034897283,0.015486724,5.240907,0.22813712,2.2984893,0.3583102,-1.178887262519417,0.3400176160919482,0.678,0.0217,14.479237433505435,0.7197972590884195,
